year,team,pre_tournament_rank,pre_tournament_points,ranking_snapshot_date
1994,Argentina,8,55.0,1994-06-14
1994,Belgium,27,44.0,1994-06-14
1994,Bolivia,43,35.0,1994-06-14
1994,Brazil,3,59.0,1994-06-14
1994,Bulgaria,29,44.0,1994-06-14
1994,Cameroon,24,46.0,1994-06-14
1994,Colombia,17,51.0,1994-06-14
1994,Germany,1,60.0,1994-06-14
1994,Greece,31,41.0,1994-06-14
1994,Italy,4,57.0,1994-06-14
1994,Mexico,16,51.0,1994-06-14
1994,Morocco,28,44.0,1994-06-14
1994,Netherlands,2,59.0,1994-06-14
1994,Nigeria,11,54.0,1994-06-14
1994,Norway,6,56.0,1994-06-14
1994,Republic of Ireland,14,53.0,1994-06-14
1994,Romania,7,55.0,1994-06-14
1994,Russia,19,50.0,1994-06-14
1994,Saudi Arabia,34,40.0,1994-06-14
1994,South Korea,37,38.0,1994-06-14
1994,Spain,5,56.0,1994-06-14
1994,Sweden,10,55.0,1994-06-14
1994,Switzerland,12,54.0,1994-06-14
1994,United States,23,47.0,1994-06-14
1998,Argentina,6,60.0,1998-05-20
1998,Austria,31,52.0,1998-05-20
1998,Belgium,36,50.0,1998-05-20
1998,Brazil,1,72.0,1998-05-20
1998,Bulgaria,35,50.0,1998-05-20
1998,Cameroon,49,45.0,1998-05-20
1998,Chile,9,59.0,1998-05-20
1998,Colombia,10,58.0,1998-05-20
1998,Croatia,19,56.0,1998-05-20
1998,Denmark,27,53.0,1998-05-20
1998,England,5,60.0,1998-05-20
1998,France,18,56.0,1998-05-20
1998,Germany,2,65.0,1998-05-20
1998,Iran,42,48.0,1998-05-20
1998,Italy,14,57.0,1998-05-20
1998,Jamaica,30,52.0,1998-05-20
1998,Japan,12,58.0,1998-05-20
1998,Mexico,4,61.0,1998-05-20
1998,Morocco,13,57.0,1998-05-20
1998,Netherlands,25,54.0,1998-05-20
1998,Nigeria,74,37.0,1998-05-20
1998,Norway,7,60.0,1998-05-20
1998,Paraguay,29,52.0,1998-05-20
1998,Romania,22,55.0,1998-05-20
1998,Saudi Arabia,34,51.0,1998-05-20
1998,Scotland,41,48.0,1998-05-20
1998,South Africa,24,55.0,1998-05-20
1998,South Korea,20,55.0,1998-05-20
1998,Spain,15,56.0,1998-05-20
1998,Tunisia,21,55.0,1998-05-20
1998,United States,11,58.0,1998-05-20
1998,Yugoslavia,8,59.0,1998-05-20
2002,Argentina,3,784.0,2002-05-15
2002,Belgium,23,653.0,2002-05-15
2002,Brazil,2,784.0,2002-05-15
2002,Cameroon,17,672.0,2002-05-15
2002,China,50,566.0,2002-05-15
2002,Costa Rica,29,643.0,2002-05-15
2002,Croatia,21,655.0,2002-05-15
2002,Denmark,20,657.0,2002-05-15
2002,Ecuador,36,624.0,2002-05-15
2002,England,12,694.0,2002-05-15
2002,France,1,802.0,2002-05-15
2002,Germany,11,695.0,2002-05-15
2002,Italy,6,717.0,2002-05-15
2002,Japan,32,634.0,2002-05-15
2002,Mexico,7,716.0,2002-05-15
2002,Nigeria,27,644.0,2002-05-15
2002,Paraguay,18,671.0,2002-05-15
2002,Poland,38,615.0,2002-05-15
2002,Portugal,5,726.0,2002-05-15
2002,Republic of Ireland,15,674.0,2002-05-15
2002,Russia,28,644.0,2002-05-15
2002,Saudi Arabia,34,627.0,2002-05-15
2002,Senegal,42,599.0,2002-05-15
2002,Slovenia,25,649.0,2002-05-15
2002,South Africa,37,623.0,2002-05-15
2002,South Korea,40,603.0,2002-05-15
2002,Spain,8,713.0,2002-05-15
2002,Sweden,19,665.0,2002-05-15
2002,Tunisia,31,635.0,2002-05-15
2002,Turkey,22,654.0,2002-05-15
2002,United States,13,690.0,2002-05-15
2002,Uruguay,24,652.0,2002-05-15
2006,Angola,57,581.0,2006-05-17
2006,Argentina,9,746.0,2006-05-17
2006,Australia,43,612.0,2006-05-17
2006,Brazil,1,827.0,2006-05-17
2006,Costa Rica,26,683.0,2006-05-17
2006,Croatia,24,686.0,2006-05-17
2006,Czech Republic,2,772.0,2006-05-17
2006,Ecuador,39,631.0,2006-05-17
2006,England,10,741.0,2006-05-17
2006,France,8,749.0,2006-05-17
2006,Germany,19,696.0,2006-05-17
2006,Ghana,48,600.0,2006-05-17
2006,Iran,23,686.0,2006-05-17
2006,Italy,13,728.0,2006-05-17
2006,Ivory Coast,32,669.0,2006-05-17
2006,Japan,18,705.0,2006-05-17
2006,Mexico,4,758.0,2006-05-17
2006,Netherlands,3,768.0,2006-05-17
2006,Paraguay,33,653.0,2006-05-17
2006,Poland,29,677.0,2006-05-17
2006,Portugal,7,750.0,2006-05-17
2006,Saudi Arabia,34,651.0,2006-05-17
2006,Serbia and Montenegro,44,610.0,2006-05-17
2006,South Korea,30,677.0,2006-05-17
2006,Spain,6,756.0,2006-05-17
2006,Sweden,16,709.0,2006-05-17
2006,Switzerland,35,648.0,2006-05-17
2006,Togo,61,569.0,2006-05-17
2006,Trinidad and Tobago,47,604.0,2006-05-17
2006,Tunisia,21,693.0,2006-05-17
2006,Ukraine,45,609.0,2006-05-17
2006,United States,5,756.0,2006-05-17
2010,Algeria,30,821.0,2010-05-26
2010,Argentina,7,1076.0,2010-05-26
2010,Australia,20,886.0,2010-05-26
2010,Brazil,1,1611.0,2010-05-26
2010,Cameroon,19,887.0,2010-05-26
2010,Chile,18,888.0,2010-05-26
2010,Denmark,36,767.0,2010-05-26
2010,England,8,1068.0,2010-05-26
2010,France,9,1044.0,2010-05-26
2010,Germany,6,1082.0,2010-05-26
2010,Ghana,32,800.0,2010-05-26
2010,Greece,13,964.0,2010-05-26
2010,Honduras,38,734.0,2010-05-26
2010,Italy,5,1184.0,2010-05-26
2010,Ivory Coast,27,856.0,2010-05-26
2010,Japan,45,682.0,2010-05-26
2010,Mexico,17,895.0,2010-05-26
2010,Netherlands,4,1231.0,2010-05-26
2010,New Zealand,78,410.0,2010-05-26
2010,Nigeria,21,883.0,2010-05-26
2010,North Korea,105,285.0,2010-05-26
2010,Paraguay,31,820.0,2010-05-26
2010,Portugal,3,1249.0,2010-05-26
2010,Serbia,15,947.0,2010-05-26
2010,Slovakia,34,777.0,2010-05-26
2010,Slovenia,25,860.0,2010-05-26
2010,South Africa,83,392.0,2010-05-26
2010,South Korea,47,632.0,2010-05-26
2010,Spain,2,1565.0,2010-05-26
2010,Switzerland,24,866.0,2010-05-26
2010,United States,14,957.0,2010-05-26
2010,Uruguay,16,899.0,2010-05-26
2014,Algeria,22,858.0,2014-06-05
2014,Argentina,5,1175.0,2014-06-05
2014,Australia,62,526.0,2014-06-05
2014,Belgium,11,1074.0,2014-06-05
2014,Bosnia and Herzegovina,21,873.0,2014-06-05
2014,Brazil,3,1242.0,2014-06-05
2014,Cameroon,56,558.0,2014-06-05
2014,Chile,14,1026.0,2014-06-05
2014,Colombia,8,1137.0,2014-06-05
2014,Costa Rica,28,762.0,2014-06-05
2014,Croatia,18,903.0,2014-06-05
2014,Ecuador,26,791.0,2014-06-05
2014,England,10,1090.0,2014-06-05
2014,France,17,913.0,2014-06-05
2014,Germany,2,1300.0,2014-06-05
2014,Ghana,37,704.0,2014-06-05
2014,Greece,12,1064.0,2014-06-05
2014,Honduras,33,731.0,2014-06-05
2014,Iran,43,641.0,2014-06-05
2014,Italy,9,1104.0,2014-06-05
2014,Ivory Coast,24,809.0,2014-06-05
2014,Japan,46,626.0,2014-06-05
2014,Mexico,20,882.0,2014-06-05
2014,Netherlands,15,981.0,2014-06-05
2014,Nigeria,44,640.0,2014-06-05
2014,Portugal,4,1189.0,2014-06-05
2014,Russia,19,893.0,2014-06-05
2014,South Korea,58,547.0,2014-06-05
2014,Spain,1,1485.0,2014-06-05
2014,Switzerland,6,1149.0,2014-06-05
2014,United States,13,1035.0,2014-06-05
2014,Uruguay,7,1147.0,2014-06-05
2018,Argentina,5,1241.0,2018-06-07
2018,Australia,36,718.0,2018-06-07
2018,Belgium,3,1298.0,2018-06-07
2018,Brazil,2,1431.0,2018-06-07
2018,Colombia,16,986.0,2018-06-07
2018,Costa Rica,23,884.0,2018-06-07
2018,Croatia,20,945.0,2018-06-07
2018,Denmark,12,1051.0,2018-06-07
2018,Egypt,45,649.0,2018-06-07
2018,England,13,1051.0,2018-06-07
2018,France,7,1198.0,2018-06-07
2018,Germany,1,1558.0,2018-06-07
2018,Iceland,22,908.0,2018-06-07
2018,Iran,37,708.0,2018-06-07
2018,Japan,61,521.0,2018-06-07
2018,Mexico,15,989.0,2018-06-07
2018,Morocco,41,686.0,2018-06-07
2018,Nigeria,48,618.0,2018-06-07
2018,Panama,55,571.0,2018-06-07
2018,Peru,11,1125.0,2018-06-07
2018,Poland,8,1183.0,2018-06-07
2018,Portugal,4,1274.0,2018-06-07
2018,Russia,70,457.0,2018-06-07
2018,Saudi Arabia,67,465.0,2018-06-07
2018,Senegal,27,838.0,2018-06-07
2018,Serbia,34,751.0,2018-06-07
2018,South Korea,57,544.0,2018-06-07
2018,Spain,10,1126.0,2018-06-07
2018,Sweden,24,880.0,2018-06-07
2018,Switzerland,6,1199.0,2018-06-07
2018,Tunisia,21,910.0,2018-06-07
2018,Uruguay,14,1018.0,2018-06-07
2022,Argentina,3,1773.88,2022-10-06
2022,Australia,38,1488.72,2022-10-06
2022,Belgium,2,1816.71,2022-10-06
2022,Brazil,1,1841.3,2022-10-06
2022,Cameroon,43,1471.44,2022-10-06
2022,Canada,41,1475.0,2022-10-06
2022,Costa Rica,31,1503.59,2022-10-06
2022,Croatia,12,1645.64,2022-10-06
2022,Denmark,10,1666.57,2022-10-06
2022,Ecuador,44,1464.39,2022-10-06
2022,England,5,1728.47,2022-10-06
2022,France,4,1759.78,2022-10-06
2022,Germany,11,1650.21,2022-10-06
2022,Ghana,61,1393.0,2022-10-06
2022,Iran,20,1564.61,2022-10-06
2022,Japan,24,1559.54,2022-10-06
2022,Mexico,13,1644.89,2022-10-06
2022,Morocco,22,1563.5,2022-10-06
2022,Netherlands,8,1694.51,2022-10-06
2022,Poland,26,1548.59,2022-10-06
2022,Portugal,9,1676.56,2022-10-06
2022,Qatar,50,1439.89,2022-10-06
2022,Saudi Arabia,51,1437.78,2022-10-06
2022,Senegal,18,1584.38,2022-10-06
2022,Serbia,21,1563.62,2022-10-06
2022,South Korea,28,1530.3,2022-10-06
2022,Spain,7,1715.22,2022-10-06
2022,Switzerland,15,1635.92,2022-10-06
2022,Tunisia,30,1507.54,2022-10-06
2022,United States,16,1627.48,2022-10-06
2022,Uruguay,14,1638.71,2022-10-06
2022,Wales,19,1569.82,2022-10-06
